time,year,month,country,countrycode,cpi_sa,cpi_yoy_nsa,exchange_rate_neer,exchange_rate_reer,exchnage_rate_vs_usd,ind_prod_const,ind_prod_const_sa
1992-02,1992,2,Philippines,PHL,34.08025480564,9.21899148187,156.7841279794,88.93808657806,25.75,3488358005.0338,3324938368.4191
1992-02,1992,2,Thailand,THA,54.42931416598,4.32463127158,,,25.41325,,
1992-02,1992,2,Cambodia,KHM,,,,,720.0,,
1992-02,1992,2,Malaysia,MYS,61.06076042779,4.42844079105,117.2956268698,113.5010283896,2.60105,2662978242.11799,2843497621.85584
1992-02,1992,2,Myanmar,MMR,2.62113717336,21.82363202769,,,6.1853,,
1992-02,1992,2,Lao PDR,LAO,4.53198074828,14.39692132906,,,711.49998099436,,
1992-02,1992,2,China,CHN,43.80505806409,5.18965572636,125.05969509284,81.25770408992,5.4782,254163880895.613,270591609277.542
1992-02,1992,2,Indonesia,IDN,14.94949989345,9.43839058699,,,2005.75,16805650920.2797,16979279477.3358
1992-02,1992,2,Taiwan China,TWN,75.90604740142,3.80813953488,,,25.0087,4573223637.92133,5364607946.96069
1992-02,1992,2,Papua New Guinea,PNG,,,231.11985150207,111.41015826835,1.00201989274,,
1992-03,1992,3,Taiwan China,TWN,75.94855988947,4.21467113898,,,25.37431818182,5841976189.69449,5546033356.29083
1992-03,1992,3,Thailand,THA,54.51737896685,4.33878621038,,,25.635,,
1992-03,1992,3,China,CHN,44.07071754609,5.43785310562,126.86665796299,82.24858104732,5.48722727273,255120562713.077,263981053366.587
1992-03,1992,3,Brunei,BRN,81.51929675894,2.68781405903,,,1.64789532294,,
1992-03,1992,3,United States,USA,63.95755168101,3.18991097923,84.52138564887,100.54387057347,1.0,174171021219.714,172963322694.54
1992-03,1992,3,Philippines,PHL,34.45035103066,8.86730932804,162.2350475231,92.33506707889,24.97454545455,3706488923.6087,3231674189.9259
1992-03,1992,3,Singapore,SGP,76.53456841714,2.1077247104,80.57385935203,95.19452234972,1.65977272727,1934478839.91637,1642952277.35981
1992-03,1992,3,Papua New Guinea,PNG,,,234.828408195,112.92341144455,1.00423679718,,
1992-03,1992,3,Cambodia,KHM,,,,,760.0,,
1992-03,1992,3,Myanmar,MMR,2.65041495858,22.97999813393,,,6.294,,
1992-03,1992,3,Malaysia,MYS,61.39074791663,4.60716745211,120.78705745605,116.68275348012,2.578,3047743159.2301,3048994942.70248
1992-03,1992,3,Lao PDR,LAO,4.51533415942,11.43063909827,,,716.99998084744,,
1992-03,1992,3,Indonesia,IDN,15.14293433359,10.03859523892,,,2012.45454545455,14842503612.0811,16075312832.2273
1992-03,1992,3,Vietnam,VNM,,,,,11518.3363249882,,
1992-03,1992,3,Chad,TCD,44.82370485791,1.78757323045,,,281.98607501483,,
1992-04,1992,4,Thailand,THA,54.41989106286,3.3894204114,,,25.63818181818,,
1992-04,1992,4,Philippines,PHL,34.71839041787,8.65155131265,163.48137053188,93.10254459089,24.76545454545,3372364368.83887,3226308246.48376
1992-04,1992,4,Taiwan China,TWN,76.9582314805,5.56932497449,,,25.28545454545,5781005285.61572,5659566249.68884
1992-04,1992,4,Lao PDR,LAO,4.5554817643,8.44977787469,,,716.99998084744,,
1992-04,1992,4,China,CHN,44.57763915099,7.07023503307,126.13212570367,82.58139638495,5.50972727273,239989205502.513,256992232102.08
1992-04,1992,4,Malaysia,MYS,61.73952280051,4.37754153217,122.02173529619,118.05844449656,2.55218181818,2855360700.67405,2904526815.45817
1992-04,1992,4,Cambodia,KHM,,,,,829.0,,
1992-04,1992,4,United States,USA,64.0954903259,3.18282753516,84.57624019435,100.01110885242,1.0,172304752834.827,174272919540.186
1992-04,1992,4,Singapore,SGP,77.01513674142,2.21855886114,80.5863363705,95.14181068386,1.65686363636,1559245396.96582,1653056759.52207
1992-04,1992,4,Indonesia,IDN,15.20417464964,9.0197662544,,,2016.81818181818,16542395756.6054,16461596148.227
1992-04,1992,4,Chad,TCD,43.75296100278,-4.97016775006,,,278.70106249139,,
1992-04,1992,4,Vietnam,VNM,,,,,11391.9916863486,,
1992-04,1992,4,Brunei,BRN,81.63021714337,2.63788013191,,,1.64471789161,,
1992-04,1992,4,Papua New Guinea,PNG,,,235.69208711218,113.10616047071,1.00268914691,,
